Order_ID,Product,Category,Quantity,Price,Customer_Name,City,Payment_Mode,Order_Status,Rating
1,Skirt,Denim,5,738,Customer_0,Chennai,UPI,Delivered,4
2,Skirt,Casual,10,350,Customer_1,Bangalore,UPI,Cancelled,2
3,Hoodie,Ethnic,3,968,Customer_2,Delhi,Card,Delivered,3
4,Dress,Ethnic,9,1568,Customer_3,Bangalore,UPI,Pending,1
5,Jeans,Ethnic,9,1311,Customer_4,Bangalore,UPI,Pending,5
6,Dress,Casual,2,1103,Customer_5,Bangalore,Card,Delivered,5
7,Hoodie,Formal,7,958,Customer_6,Mumbai,UPI,Delivered,2
8,Hoodie,Denim,6,1897,Customer_7,Bangalore,Card,Cancelled,1
9,Jeans,Winter,2,1221,Customer_8,Chennai,UPI,Pending,3
10,Jacket,Denim,2,1820,Customer_9,Bangalore,UPI,Cancelled,5
11,Shirt,Ethnic,2,337,Customer_10,Bangalore,Card,Delivered,1
12,T-shirt,Formal,3,355,Customer_11,Delhi,Card,Delivered,3
13,Shirt,Casual,5,1285,Customer_12,Delhi,UPI,Cancelled,4
14,Dress,Denim,4,1051,Customer_13,Bangalore,Card,Pending,2
15,Jacket,Winter,6,1710,Customer_14,Bangalore,Card,Pending,1
16,Skirt,Casual,6,648,Customer_15,Chennai,Cash,Pending,2
17,Shirt,Formal,1,1212,Customer_16,Hyderabad,Cash,Pending,5
18,T-shirt,Winter,5,425,Customer_17,Chennai,Card,Delivered,3
19,Kurta,Casual,4,408,Customer_18,Bangalore,UPI,Cancelled,4
20,Kurta,Denim,10,777,Customer_19,Delhi,Cash,Pending,2
21,Hoodie,Ethnic,5,385,Customer_20,Bangalore,Card,Pending,3
22,Shirt,Denim,1,1636,Customer_21,Bangalore,Cash,Delivered,2
23,Hoodie,Formal,10,1519,Customer_22,Delhi,Card,Cancelled,2
24,Dress,Formal,4,617,Customer_23,Chennai,Card,Pending,4
25,Shirt,Casual,7,1876,Customer_24,Bangalore,UPI,Cancelled,3
26,Shirt,Winter,9,1280,Customer_25,Delhi,Cash,Pending,4
27,Kurta,Formal,4,444,Customer_26,Chennai,Cash,Cancelled,3
28,Jeans,Denim,7,1651,Customer_27,Delhi,Cash,Delivered,4
29,Shirt,Denim,10,573,Customer_28,Bangalore,UPI,Delivered,3
30,Jacket,Denim,4,1667,Customer_29,Chennai,UPI,Delivered,5
31,Jacket,Casual,7,1087,Customer_30,Delhi,Card,Pending,3
32,Shirt,Ethnic,9,1518,Customer_31,Bangalore,Card,Delivered,5
33,T-shirt,Formal,5,1949,Customer_32,Mumbai,UPI,Cancelled,1
34,Jacket,Formal,2,1364,Customer_33,Chennai,Card,Pending,4
35,Kurta,Casual,1,946,Customer_34,Bangalore,Cash,Delivered,5
36,Jeans,Casual,1,1460,Customer_35,Chennai,UPI,Cancelled,5
37,Jacket,Formal,6,296,Customer_36,Hyderabad,UPI,Delivered,5
38,Skirt,Winter,1,271,Customer_37,Hyderabad,Card,Cancelled,5
39,Kurta,Denim,7,1586,Customer_38,Hyderabad,Cash,Delivered,3
40,T-shirt,Ethnic,3,597,Customer_39,Bangalore,UPI,Cancelled,1
41,Skirt,Ethnic,8,423,Customer_40,Hyderabad,Cash,Cancelled,3
42,Shirt,Denim,6,1451,Customer_41,Delhi,Cash,Pending,3
43,Kurta,Casual,5,658,Customer_42,Chennai,Cash,Cancelled,3
44,Shirt,Winter,2,1863,Customer_43,Mumbai,Cash,Cancelled,3
45,Dress,Ethnic,2,965,Customer_44,Delhi,Cash,Cancelled,4
46,Hoodie,Denim,5,1011,Customer_45,Mumbai,UPI,Cancelled,3
47,Jeans,Winter,3,1055,Customer_46,Chennai,UPI,Cancelled,2
48,Hoodie,Formal,9,459,Customer_47,Hyderabad,Card,Cancelled,4
49,Kurta,Winter,6,1168,Customer_48,Chennai,Cash,Delivered,3
50,Hoodie,Casual,4,772,Customer_49,Bangalore,UPI,Delivered,3
51,Skirt,Winter,9,1943,Customer_50,Delhi,Cash,Cancelled,1
52,Shirt,Denim,3,733,Customer_51,Chennai,Card,Cancelled,1
53,T-shirt,Denim,1,1186,Customer_52,Chennai,UPI,Cancelled,4
54,Dress,Winter,2,1397,Customer_53,Chennai,UPI,Pending,1
55,Jeans,Formal,7,881,Customer_54,Hyderabad,Card,Pending,3
56,Skirt,Denim,4,1255,Customer_55,Delhi,Card,Pending,5
57,T-shirt,Casual,8,1887,Customer_56,Delhi,Card,Delivered,3
58,Kurta,Ethnic,3,1491,Customer_57,Chennai,Card,Cancelled,2
59,Jeans,Winter,8,875,Customer_58,Mumbai,Card,Delivered,2
60,Dress,Formal,5,912,Customer_59,Chennai,UPI,Pending,2
61,T-shirt,Winter,10,1424,Customer_60,Chennai,Cash,Cancelled,1
62,Dress,Denim,10,935,Customer_61,Hyderabad,Card,Pending,3
63,Kurta,Casual,2,1826,Customer_62,Delhi,Card,Cancelled,2
64,Skirt,Denim,5,326,Customer_63,Hyderabad,Card,Pending,2
65,Hoodie,Winter,8,1058,Customer_64,Chennai,UPI,Cancelled,5
66,Hoodie,Casual,4,385,Customer_65,Mumbai,Cash,Pending,3
67,Shirt,Ethnic,9,1681,Customer_66,Hyderabad,UPI,Pending,5
68,Jacket,Ethnic,4,689,Customer_67,Mumbai,Card,Cancelled,1
69,Skirt,Casual,8,1479,Customer_68,Hyderabad,UPI,Delivered,5
70,Jacket,Casual,2,1949,Customer_69,Mumbai,Card,Delivered,3
71,Dress,Ethnic,10,1161,Customer_70,Hyderabad,Cash,Delivered,5
